,epoch,Initial Train Accuracy,Initial Test Accuracy,Growth Train Accuracy,Growth Test Accuracy,Final Train Accuracy,Final Test Accuracy
0,0,14.073333333333334,13.86,13.693333333333333,13.84,26.031111111111112,25.54
1,1,23.90222222222222,23.62,24.495555555555555,23.44,28.706666666666667,27.94
2,2,29.786666666666665,29.18,26.973333333333333,26.38,38.76222222222222,38.16
3,3,35.32,33.84,27.57777777777778,27.36,42.635555555555555,41.56
4,4,38.16,37.06,27.913333333333334,26.9,45.37777777777778,44.72
5,5,39.473333333333336,39.6,28.22222222222222,27.38,46.67333333333333,44.5
6,6,39.36888888888889,38.12,28.315555555555555,27.64,48.34888888888889,46.06
7,7,41.977777777777774,40.36,28.74222222222222,28.12,48.102222222222224,45.1
8,8,37.24444444444445,36.14,29.102222222222224,28.48,55.16,50.88
9,9,42.92888888888889,42.56,29.426666666666666,28.74,56.806666666666665,51.38
10,10,46.98,45.8,30.075555555555557,29.6,59.23111111111111,52.54
11,11,49.06444444444445,48.08,30.68888888888889,30.28,61.56444444444445,52.5
12,12,50.782222222222224,49.3,30.85333333333333,30.36,65.75111111111111,53.92
13,13,49.11555555555555,47.26,30.72,29.62,64.86,52.38
14,14,50.75333333333333,48.98,31.5,30.24,71.45333333333333,52.68
15,15,52.495555555555555,50.38,32.135555555555555,31.1,75.36,54.18
