,epoch,Initial Train Accuracy,Initial Test Accuracy,Growth Train Accuracy,Growth Test Accuracy,Final Train Accuracy,Final Test Accuracy
0,0,15.672222222222222,14.533333333333333,15.86111111111111,14.866666666666667,13.255555555555556,13.516666666666667
1,1,46.492592592592594,46.13333333333333,46.5,46.15,47.57037037037037,47.93333333333333
2,2,49.672222222222224,50.983333333333334,49.26851851851852,50.53333333333333,63.9537037037037,63.88333333333333
3,3,67.01851851851852,67.65,52.26851851851852,53.416666666666664,73.55185185185185,73.38333333333334
4,4,76.27407407407408,75.2,54.84074074074074,56.083333333333336,79.9462962962963,79.41666666666667
5,5,80.96851851851852,79.88333333333334,57.69074074074074,58.766666666666666,83.06111111111112,82.8
6,6,84.2388888888889,83.01666666666667,60.08888888888889,61.166666666666664,85.43518518518519,84.78333333333333
7,7,86.27962962962962,85.15,62.507407407407406,63.483333333333334,86.83888888888889,86.06666666666666
8,8,87.3962962962963,86.23333333333333,64.42407407407407,65.25,87.87592592592593,87.01666666666667
9,9,88.2462962962963,87.25,66.17407407407407,67.01666666666667,88.65925925925926,87.85
10,10,88.89259259259259,87.63333333333334,67.6037037037037,68.06666666666666,89.20185185185186,88.33333333333333
11,11,89.26481481481481,88.2,68.92222222222222,69.43333333333334,89.73148148148148,89.01666666666667
12,12,89.71481481481482,88.6,70.1,70.33333333333333,90.13703703703703,89.4
13,13,90.11481481481482,89.16666666666667,71.06851851851852,71.23333333333333,90.41481481481482,89.63333333333334
14,14,90.41851851851852,89.45,72.02777777777777,71.95,90.78703703703704,90.0
15,15,90.67777777777778,89.85,72.88888888888889,72.76666666666667,91.08518518518518,90.36666666666666
