,epoch,Initial Train Accuracy,Initial Test Accuracy,Growth Train Accuracy,Growth Test Accuracy,Final Train Accuracy,Final Test Accuracy
0,0,19.20740740740741,19.633333333333333,8.283333333333333,8.2,24.572222222222223,24.883333333333333
1,1,44.58518518518518,44.93333333333333,7.337037037037037,7.216666666666667,39.224074074074075,39.46666666666667
2,2,52.75370370370371,52.583333333333336,6.238888888888889,5.933333333333334,53.583333333333336,54.016666666666666
3,3,66.83518518518518,67.36666666666666,5.333333333333333,4.95,73.66111111111111,73.53333333333333
4,4,77.0111111111111,77.15,5.07962962962963,5.033333333333333,79.15555555555555,78.83333333333333
5,5,81.75740740740741,81.76666666666667,6.662962962962963,6.6,83.07962962962964,82.41666666666667
6,6,84.58888888888889,84.56666666666666,8.71111111111111,9.1,85.21111111111111,84.56666666666666
7,7,86.4,86.58333333333333,10.235185185185186,11.016666666666667,86.91666666666667,86.33333333333333
8,8,87.62037037037037,87.55,10.857407407407408,11.55,87.75740740740741,87.43333333333334
9,9,88.38888888888889,88.4,11.061111111111112,12.033333333333333,88.50555555555556,88.05
10,10,88.91111111111111,88.63333333333334,11.13888888888889,12.016666666666667,89.02777777777777,88.7
11,11,89.30555555555556,88.91666666666667,11.172222222222222,12.016666666666667,89.42407407407407,89.13333333333334
12,12,89.8425925925926,89.48333333333333,11.183333333333334,12.05,89.93148148148148,89.53333333333333
13,13,90.1462962962963,89.96666666666667,11.192592592592593,12.05,90.25,89.8
14,14,90.46666666666667,90.25,11.183333333333334,12.05,90.55925925925926,90.3
15,15,90.6537037037037,90.23333333333333,11.188888888888888,12.066666666666666,90.84074074074074,90.48333333333333
16,16,90.91481481481482,90.55,11.192592592592593,12.05,91.11666666666666,90.48333333333333
17,17,91.17407407407407,90.91666666666667,11.192592592592593,12.033333333333333,91.23333333333333,90.81666666666666
18,18,91.28703703703704,90.93333333333334,11.194444444444445,12.033333333333333,91.36851851851851,91.03333333333333
19,19,91.57037037037037,91.26666666666667,11.196296296296296,12.05,91.70925925925926,91.26666666666667
