,epoch,Initial Train Accuracy,Initial Test Accuracy,Growth Train Accuracy,Growth Test Accuracy,Final Train Accuracy,Final Test Accuracy
0,0,26.264814814814816,26.216666666666665,26.396296296296295,26.4,35.48518518518519,36.18333333333333
1,1,45.898148148148145,46.18333333333333,45.68888888888889,45.916666666666664,40.57037037037037,41.36666666666667
2,2,51.89074074074074,52.36666666666667,51.76481481481481,52.43333333333333,39.05555555555556,39.36666666666667
3,3,70.68333333333334,70.76666666666667,54.172222222222224,54.916666666666664,69.2388888888889,69.21666666666667
4,4,78.9888888888889,78.83333333333333,57.07962962962963,57.71666666666667,79.7925925925926,79.3
5,5,83.29444444444445,83.05,60.407407407407405,60.8,82.73518518518519,82.35
6,6,85.66296296296296,85.31666666666666,63.64074074074074,63.86666666666667,85.09444444444445,84.75
7,7,87.13148148148149,87.16666666666667,66.48703703703704,66.9,86.54074074074074,86.25
8,8,88.33333333333333,88.3,68.95370370370371,69.66666666666667,87.60740740740741,87.36666666666666
9,9,89.00925925925925,88.95,70.80740740740741,71.53333333333333,88.40555555555555,88.28333333333333
10,10,89.57777777777778,89.61666666666666,72.56296296296296,73.0,88.96851851851852,88.65
11,11,90.02592592592593,89.75,73.85740740740741,74.36666666666666,89.61851851851851,89.23333333333333
12,12,90.37592592592593,90.16666666666667,74.96111111111111,75.13333333333334,89.95185185185186,89.8
13,13,90.62592592592593,90.65,75.95,75.91666666666667,90.38703703703703,90.03333333333333
14,14,90.93148148148148,90.61666666666666,76.79074074074074,76.7,90.61111111111111,90.33333333333333
15,15,91.20925925925926,90.95,77.6,77.56666666666666,90.92592592592592,90.58333333333333
