,epoch,Initial Train Accuracy,Initial Test Accuracy,Growth Train Accuracy,Growth Test Accuracy,Final Train Accuracy,Final Test Accuracy
0,0,9.971111111111112,10.26,9.971111111111112,10.26,9.971111111111112,10.26
1,1,9.971111111111112,10.26,9.971111111111112,10.26,9.971111111111112,10.26
2,2,9.971111111111112,10.26,9.971111111111112,10.26,9.971111111111112,10.26
3,3,11.03111111111111,11.28,15.053333333333333,14.78,13.822222222222223,13.66
4,4,13.842222222222222,14.24,12.03111111111111,12.02,18.511111111111113,17.86
5,5,13.413333333333334,13.76,10.097777777777777,9.72,22.824444444444445,22.14
6,6,17.533333333333335,16.8,10.06,9.62,26.506666666666668,26.72
7,7,22.77777777777778,22.62,10.186666666666667,9.58,32.64222222222222,32.4
8,8,30.442222222222224,29.46,10.635555555555555,9.92,33.51777777777778,33.64
9,9,34.70666666666666,34.78,11.13111111111111,10.6,36.535555555555554,38.08
10,10,34.62888888888889,34.92,12.666666666666666,12.48,36.471111111111114,36.66
11,11,36.31777777777778,36.68,12.942222222222222,12.62,40.63333333333333,40.86
12,12,38.40888888888889,38.22,14.831111111111111,14.26,40.29555555555555,38.86
13,13,39.14222222222222,38.82,15.98,15.42,42.34,42.46
14,14,41.58,41.62,16.18,15.6,44.95111111111111,44.06
15,15,43.70444444444445,42.68,15.431111111111111,15.16,42.86222222222222,41.84
