,epoch,Initial Train Accuracy,Initial Test Accuracy,Growth Train Accuracy,Growth Test Accuracy,Final Train Accuracy,Final Test Accuracy
0,0,69.68333333333334,69.86666666666666,70.3,70.08333333333333,65.54444444444445,65.68333333333334
1,1,86.43888888888888,85.63333333333334,84.6037037037037,83.96666666666667,86.16296296296296,85.48333333333333
2,2,88.77037037037037,88.45,87.08703703703704,86.63333333333334,89.01296296296296,89.03333333333333
3,3,90.36296296296297,89.75,88.48703703703704,88.03333333333333,90.71666666666667,90.36666666666666
4,4,91.23703703703704,90.4,89.30740740740741,88.86666666666666,91.82962962962964,91.63333333333334
5,5,91.92407407407407,91.46666666666667,89.86111111111111,89.4,92.47777777777777,91.83333333333333
6,6,92.88703703703703,92.25,90.5425925925926,90.15,93.11111111111111,92.53333333333333
7,7,93.51296296296296,92.85,91.02037037037037,90.55,93.74074074074075,93.23333333333333
8,8,93.99444444444444,93.38333333333334,91.27222222222223,90.76666666666667,94.07962962962964,93.76666666666667
9,9,94.32222222222222,93.43333333333334,91.69444444444444,91.16666666666667,94.47592592592592,94.11666666666666
10,10,94.7611111111111,94.03333333333333,91.97407407407407,91.58333333333333,94.89259259259259,94.55
11,11,95.09444444444445,94.41666666666667,92.27037037037037,91.71666666666667,95.11481481481482,94.68333333333334
12,12,95.47777777777777,94.53333333333333,92.46666666666667,91.95,95.48518518518519,94.9
13,13,95.7537037037037,95.0,92.76481481481481,92.3,95.50740740740741,95.01666666666667
14,14,95.93518518518519,94.96666666666667,92.97592592592592,92.4,95.91296296296296,95.36666666666666
15,15,96.17777777777778,95.06666666666666,93.16111111111111,92.5,95.98703703703704,95.28333333333333
16,16,96.41296296296296,95.33333333333333,93.37592592592593,92.66666666666667,96.25555555555556,95.56666666666666
17,17,96.51666666666667,95.36666666666666,93.56666666666666,92.71666666666667,96.39814814814815,95.6
18,18,96.7537037037037,95.7,93.68703703703704,93.06666666666666,96.67037037037036,95.75
19,19,96.93518518518519,95.58333333333333,93.83888888888889,93.03333333333333,96.75185185185185,95.8
