,lr,bs,ep_r
0,0.0,0.0,-0.996452382552252
1,0.0,0.04,-0.9963926445543068
2,0.0,0.08,-0.9964035723789516
3,0.0,0.12,-0.9964658989373841
4,0.0,0.16,-0.9964722044689751
5,0.0,0.2,-0.99651160044091
6,0.04,0.0,24.441015637324245
7,0.04,0.04,37.92661172340971
8,0.04,0.08,36.40924973072686
9,0.04,0.12,32.60374080653794
10,0.04,0.16,27.884347637514356
11,0.04,0.2,24.275926964529027
12,0.08,0.0,14.609398893017636
13,0.08,0.04,26.551257533116207
14,0.08,0.08,25.28225567462963
15,0.08,0.12,24.216142414830102
16,0.08,0.16,24.139015972706325
17,0.08,0.2,17.62861838055896
18,0.12,0.0,10.529732218135711
19,0.12,0.04,9.871763242565043
20,0.12,0.08,16.33246906953931
21,0.12,0.12,11.319173020255992
22,0.12,0.16,10.762029513191226
23,0.12,0.2,10.705902250119882
24,0.16,0.0,2.0353041479808986
25,0.16,0.04,8.86693442539871
26,0.16,0.08,10.623040472852065
27,0.16,0.12,5.498183307100335
28,0.16,0.16,5.603795916362061
29,0.16,0.2,4.525590835139174
30,0.2,0.0,1.4417018814392797
31,0.2,0.04,2.3104242150196193
32,0.2,0.08,6.983650216392968
33,0.2,0.12,9.303854107128545
34,0.2,0.16,8.44420428405363
35,0.2,0.2,-0.6258062752374879
