,lr,bs,ep_r
53,-0.5000000000000001,0.30000000000000004,-242.25231522788062
54,-0.5000000000000001,0.4,-229.2392765194276
55,-0.5000000000000001,0.5,-214.65379039942854
56,-0.5000000000000001,0.6000000000000001,-185.0281966382882
57,-0.5000000000000001,0.7000000000000001,-216.12398354015332
58,-0.5000000000000001,0.8,-185.02637253049286
59,-0.5000000000000001,0.9,-213.26584970838863
60,-0.40000000000000013,0.0,-242.88125932429585
61,-0.40000000000000013,0.1,-233.3337313754824
62,-0.40000000000000013,0.2,-200.32919701438942
63,-0.40000000000000013,0.30000000000000004,-185.9468102569799
64,-0.40000000000000013,0.4,-224.74431285705901
65,-0.40000000000000013,0.5,-234.85857805282654
66,-0.40000000000000013,0.6000000000000001,-237.3412382497332
67,-0.40000000000000013,0.7000000000000001,-226.54166967553851
68,-0.40000000000000013,0.8,-226.14163681722485
69,-0.40000000000000013,0.9,-227.90858153658328
70,-0.30000000000000016,0.0,-225.88648616812642
71,-0.30000000000000016,0.1,-231.77156628698293
72,-0.30000000000000016,0.2,-228.64425636790446
73,-0.30000000000000016,0.30000000000000004,-234.5636970452049
74,-0.30000000000000016,0.4,-237.47120777741043
75,-0.30000000000000016,0.5,-226.18900940786156
76,-0.30000000000000016,0.6000000000000001,-227.09477760732526
77,-0.30000000000000016,0.7000000000000001,-184.67296916219863
78,-0.30000000000000016,0.8,-199.55846371917005
79,-0.30000000000000016,0.9,-228.91575340938954
80,-0.20000000000000018,0.0,-228.11138002589405
81,-0.20000000000000018,0.1,-200.01273619272519
82,-0.20000000000000018,0.2,-195.31665385010882
83,-0.20000000000000018,0.30000000000000004,-217.35937808454386
84,-0.20000000000000018,0.4,-209.55679144931074
85,-0.20000000000000018,0.5,-177.2499121300669
86,-0.20000000000000018,0.6000000000000001,-230.8506810409877
87,-0.20000000000000018,0.7000000000000001,-195.9612404025625
88,-0.20000000000000018,0.8,-213.5602904741251
89,-0.20000000000000018,0.9,-229.14856715817277
90,-0.1000000000000002,0.0,-211.8140584009031
91,-0.1000000000000002,0.1,-240.04216458715072
92,-0.1000000000000002,0.2,-223.11758694885685
93,-0.1000000000000002,0.30000000000000004,-200.55751462704987
94,-0.1000000000000002,0.4,-213.12538608100303
95,-0.1000000000000002,0.5,-195.45275442171217
96,-0.1000000000000002,0.6000000000000001,-174.5540557982408
97,-0.1000000000000002,0.7000000000000001,-181.53058409673937
98,-0.1000000000000002,0.8,-178.7428080623695
99,-0.1000000000000002,0.9,-223.5784635573391
100,-2.220446049250313e-16,0.0,-0.9964431828583841
101,-2.220446049250313e-16,0.1,-0.9964893198361595
102,-2.220446049250313e-16,0.2,-0.9964720468903099
103,-2.220446049250313e-16,0.30000000000000004,-0.996503334711323
104,-2.220446049250313e-16,0.4,-0.996529569291589
105,-2.220446049250313e-16,0.5,-0.9964366671241489
106,-2.220446049250313e-16,0.6000000000000001,-0.996531742527935
107,-2.220446049250313e-16,0.7000000000000001,-0.9963699721861708
108,-2.220446049250313e-16,0.8,-0.9964536122649003
109,-2.220446049250313e-16,0.9,-0.9965237462232469
110,0.09999999999999964,0.0,12.157895888567705
111,0.09999999999999964,0.1,21.560358494574096
112,0.09999999999999964,0.2,12.745541714708837
113,0.09999999999999964,0.30000000000000004,11.881977016340638
114,0.09999999999999964,0.4,-0.9021296894010279
115,0.09999999999999964,0.5,6.051351705144518
116,0.09999999999999964,0.6000000000000001,2.4368778254899857
117,0.09999999999999964,0.7000000000000001,-4.439504406622841
118,0.09999999999999964,0.8,0.1747772487862575
119,0.09999999999999964,0.9,0.11283847734515336
120,0.19999999999999973,0.0,2.3620157444074574
121,0.19999999999999973,0.1,4.179629169954115
122,0.19999999999999973,0.2,1.9698330372706252
123,0.19999999999999973,0.30000000000000004,1.071958964515558
124,0.19999999999999973,0.4,-4.281536430571057
125,0.19999999999999973,0.5,-10.581434653808072
126,0.19999999999999973,0.6000000000000001,-17.585698113278685
127,0.19999999999999973,0.7000000000000001,-10.112124878579115
128,0.19999999999999973,0.8,-18.115596682306627
129,0.19999999999999973,0.9,-5.092139300101768
130,0.2999999999999998,0.0,-2.6617562578972715
131,0.2999999999999998,0.1,-3.468439658210303
132,0.2999999999999998,0.2,-9.923663206915304
133,0.2999999999999998,0.30000000000000004,-8.998259749995146
134,0.2999999999999998,0.4,-10.80434892852914
135,0.2999999999999998,0.5,-9.775301128184399
136,0.2999999999999998,0.6000000000000001,-15.303749051107479
137,0.2999999999999998,0.7000000000000001,-18.783714191413498
138,0.2999999999999998,0.8,-12.882615254930602
139,0.2999999999999998,0.9,-18.49923507830001
140,0.3999999999999997,0.0,-6.358774744130132
141,0.3999999999999997,0.1,-42.55406592320476
142,0.3999999999999997,0.2,-16.175695071490395
143,0.3999999999999997,0.30000000000000004,-15.206257930872571
144,0.3999999999999997,0.4,-17.732379306627855
145,0.3999999999999997,0.5,-10.373361052177248
146,0.3999999999999997,0.6000000000000001,-18.634428398721077
147,0.3999999999999997,0.7000000000000001,-20.59621679036914
148,0.3999999999999997,0.8,-20.652226426336888
149,0.3999999999999997,0.9,-42.85142001645003
150,0.49999999999999956,0.0,-40.56518460634105
151,0.49999999999999956,0.1,-45.81593860377849
152,0.49999999999999956,0.2,-50.673814079397815
153,0.49999999999999956,0.30000000000000004,-51.23026875553463
154,0.49999999999999956,0.4,-49.65870185078219
155,0.49999999999999956,0.5,-33.02816472180545
156,0.49999999999999956,0.6000000000000001,-41.881555401642636
157,0.49999999999999956,0.7000000000000001,-38.36843388394502
158,0.49999999999999956,0.8,-47.62686892305116
159,0.49999999999999956,0.9,-40.56718392908157
160,0.5999999999999996,0.0,-48.586111673602765
161,0.5999999999999996,0.1,-47.13586146003148
162,0.5999999999999996,0.2,-53.246385372822225
163,0.5999999999999996,0.30000000000000004,-53.14293828590655
164,0.5999999999999996,0.4,-52.77747394843929
165,0.5999999999999996,0.5,-43.48000511521206
